latitude,longitude,temperature_celsius,condition_text,wind_mph,wind_degree,wind_direction,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,visibility_miles,uv_index,gust_mph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_phase,moon_illumination
22.08,79.53,26.7,16.0,10.7,329,6.0,1008.0,29.77,0.0,0.0,69,57,28.7,6.0,7.0,12.3,203.6,60.8,0.4,0.7,8.0,12.0,1,1,5.0,93
21.83,76.33,28.2,1.0,10.1,285,14.0,1009.0,29.79,0.0,0.0,64,73,30.6,6.0,6.0,11.6,198.6,30.0,1.4,2.1,6.5,9.1,1,1,5.0,93
23.53,80.83,27.0,20.0,9.6,296,14.0,1007.0,29.75,0.2,0.01,74,86,29.6,5.0,6.0,13.0,230.3,65.8,4.7,14.8,18.2,23.0,2,2,5.0,93
26.22,78.18,31.1,22.0,13.0,278,13.0,1006.0,29.7,0.0,0.0,55,12,34.3,6.0,8.0,15.0,233.7,68.7,1.2,1.5,16.7,29.9,2,2,5.0,93
23.83,79.45,28.8,22.0,10.3,294,14.0,1007.0,29.75,0.0,0.0,64,16,31.6,6.0,7.0,11.9,237.0,65.1,0.8,2.7,19.9,27.0,2,2,5.0,93
22.6,75.3,26.0,9.0,11.9,300,14.0,1012.0,29.88,0.0,0.0,74,50,27.6,3.0,6.0,15.4,203.6,30.0,1.5,1.4,6.2,8.1,1,1,5.0,93
20.3,85.72,32.0,9.0,10.5,320,7.0,1005.0,29.68,0.0,0.0,63,50,34.2,2.0,8.0,11.6,397.2,63.7,20.1,38.6,56.4,65.0,3,7,5.0,93
24.42,81.88,30.1,16.0,9.2,281,14.0,1006.0,29.72,0.0,0.0,60,39,33.3,6.0,8.0,10.5,257.0,76.5,1.3,4.7,21.9,26.6,2,2,5.0,93
22.3,74.35,28.5,1.0,12.3,266,13.0,1009.0,29.79,0.0,0.0,61,85,30.5,6.0,6.0,14.1,208.6,29.0,2.8,2.4,9.5,13.5,1,1,5.0,93
23.27,77.4,26.9,16.0,9.2,288,14.0,1009.0,29.79,0.0,0.0,72,30,29.3,6.0,7.0,10.5,230.3,25.4,2.9,3.0,8.4,11.3,1,1,5.0,93
27.23,76.63,30.8,22.0,10.7,261,13.0,1006.0,29.7,0.0,0.0,53,6,33.2,6.0,8.0,12.3,223.6,59.4,1.9,0.9,20.8,93.6,2,2,5.0,93
22.6,80.38,27.0,20.0,7.6,311,7.0,1008.0,29.77,0.2,0.01,72,77,29.5,6.0,6.0,10.3,243.7,58.7,1.1,1.2,15.0,19.6,1,2,5.0,93
23.43,76.27,26.9,22.0,13.0,262,13.0,1009.0,29.79,0.0,0.0,67,17,28.8,6.0,7.0,15.0,223.6,35.1,2.6,3.7,10.7,14.8,1,1,5.0,93
25.43,77.65,27.7,22.0,13.4,269,13.0,1007.0,29.75,0.0,0.0,67,12,30.0,6.0,7.0,15.4,240.3,82.3,2.3,7.0,27.2,42.5,2,3,5.0,93
25.67,78.47,30.2,20.0,11.9,280,13.0,1006.0,29.72,0.1,0.0,59,83,33.3,6.0,7.0,14.5,243.7,87.3,2.0,8.5,30.1,43.3,2,3,5.0,93
21.3,76.23,28.6,1.0,8.3,278,13.0,1009.0,29.8,0.0,0.0,64,81,31.1,6.0,6.0,9.6,193.6,30.8,0.6,0.7,3.3,6.0,1,1,5.0,93
23.1,81.68,27.6,20.0,7.2,299,14.0,1007.0,29.74,0.2,0.01,63,72,29.4,6.0,6.0,9.4,213.6,79.4,4.8,19.6,17.9,22.8,2,2,5.0,93
23.28,81.35,27.7,20.0,8.1,296,14.0,1007.0,29.74,0.5,0.02,68,82,30.2,5.0,6.0,12.5,243.7,65.1,1.2,1.2,17.1,21.1,2,2,5.0,93
23.53,77.82,27.6,22.0,9.6,287,14.0,1008.0,29.77,0.0,0.0,70,19,30.1,6.0,7.0,11.2,240.3,38.3,2.1,2.6,10.7,14.2,1,1,5.0,93
20.82,71.03,29.2,16.0,12.3,252,15.0,1008.0,29.78,0.0,0.0,61,52,31.7,6.0,7.0,14.5,191.9,36.1,1.3,3.2,13.7,24.3,1,2,5.0,93
30.92,77.12,20.7,22.0,5.1,301,14.0,1009.0,29.79,0.0,0.0,59,7,20.7,6.0,6.0,8.9,433.9,125.9,2.3,10.5,27.8,30.9,2,3,5.0,93
24.85,81.38,31.8,20.0,10.3,280,13.0,1006.0,29.7,0.1,0.0,54,82,35.4,6.0,7.0,12.3,240.3,71.5,0.8,2.8,18.3,24.4,2,2,5.0,93
32.57,76.13,20.3,22.0,6.3,244,15.0,1010.0,29.83,0.0,0.0,64,24,20.2,6.0,6.0,7.2,423.9,128.8,6.4,2.1,25.3,32.3,2,3,5.0,93
31.1,77.17,20.7,22.0,5.1,301,14.0,1009.0,29.79,0.0,0.0,59,7,20.7,6.0,6.0,8.9,433.9,125.9,2.3,10.5,27.8,30.9,2,3,5.0,93
22.08,82.15,30.9,22.0,3.6,333,6.0,1006.0,29.72,0.0,0.0,51,12,33.1,6.0,8.0,4.0,250.3,69.4,0.9,0.8,16.9,20.8,2,2,5.0,93
32.1,76.27,23.8,22.0,4.9,203,11.0,1009.0,29.8,0.0,0.0,62,11,25.4,6.0,6.0,5.8,467.3,128.8,11.5,2.2,23.5,27.9,2,2,5.0,93
31.72,76.92,25.5,22.0,2.7,251,15.0,1009.0,29.78,0.0,0.0,56,8,26.5,6.0,7.0,3.1,353.8,89.4,0.5,0.5,19.0,21.2,2,2,5.0,93
25.95,80.15,30.8,16.0,8.1,282,14.0,1005.0,29.69,0.0,0.0,57,26,34.0,6.0,8.0,10.5,253.7,70.8,1.3,2.1,20.2,29.5,2,2,5.0,93
32.65,74.93,27.2,20.0,5.1,76,1.0,1005.0,29.68,1.2,0.05,65,73,29.0,5.0,6.0,9.8,948.0,36.5,32.9,5.9,43.8,58.7,3,5,5.0,93
33.73,75.15,15.3,22.0,2.7,307,7.0,1011.0,29.86,0.0,0.0,62,13,15.3,6.0,5.0,4.9,894.6,41.1,17.7,3.7,51.2,67.1,3,6,5.0,93
34.21,74.34,22.8,22.0,4.5,119,2.0,1010.0,29.83,0.0,0.0,45,6,24.5,6.0,6.0,5.1,327.1,82.3,0.5,0.4,6.3,7.8,1,1,5.0,93
33.65,75.02,15.3,22.0,2.7,307,7.0,1011.0,29.86,0.0,0.0,62,13,15.3,6.0,5.0,4.9,894.6,41.1,17.7,3.7,51.2,67.1,3,6,5.0,93
33.72,74.83,15.3,22.0,2.7,307,7.0,1011.0,29.86,0.0,0.0,62,13,15.3,6.0,5.0,4.9,894.6,41.1,17.7,3.7,51.2,67.1,3,6,5.0,93
32.73,74.87,27.2,20.0,5.1,76,1.0,1005.0,29.68,1.2,0.05,65,73,29.0,5.0,6.0,9.8,948.0,36.5,32.9,5.9,43.8,58.7,3,5,5.0,93
